sku;handle;produto;categoria;custo;venda;aliexpress;foto_local
bebe-152;cortador-unha-bebe;Cortador Unha Bebê;Bebê;42,48;84,96;https://pt.aliexpress.com/w/wholesale-baby+nail+trimmer+electric.html;assets/img/ali/bebe-152.jpg
bebe-153;bolsa-maternidade-3pc;Bolsa Maternidade 3pç;Bebê;84,95;169,90;https://pt.aliexpress.com/w/wholesale-diaper+bag+set+3pcs.html;assets/img/ali/bebe-153.jpg
bebe-154;protetor-sol-carrinho;Protetor Sol Carrinho;Bebê;32,63;65,26;https://pt.aliexpress.com/w/wholesale-stroller+sun+shade.html;assets/img/ali/bebe-154.jpg
bebe-155;chocalho-sensorial;Chocalho Sensorial;Bebê;19,17;38,34;https://pt.aliexpress.com/w/wholesale-baby+sensory+rattle.html;assets/img/ali/bebe-155.jpg
bebe-156;tapete-atividades;Tapete Atividades;Bebê;99,46;198,92;https://pt.aliexpress.com/w/wholesale-baby+play+mat+foam.html;assets/img/ali/bebe-156.jpg
bebe-157;redutor-sanitario;Redutor Sanitário;Bebê;35,22;70,44;https://pt.aliexpress.com/w/wholesale-potty+training+seat.html;assets/img/ali/bebe-157.jpg
bebe-158;escova-cabelo-bebe;Escova Cabelo Bebê;Bebê;17,61;35,22;https://pt.aliexpress.com/w/wholesale-baby+hair+brush+set.html;assets/img/ali/bebe-158.jpg
bebe-159;porta-chupeta-clip;Porta-Chupeta Clip;Bebê;13,47;26,94;https://pt.aliexpress.com/w/wholesale-pacifier+clip+holder.html;assets/img/ali/bebe-159.jpg
bebe-160;umidificador-quarto-bebe;Umidificador Quarto Bebê;Bebê;69,93;139,86;https://pt.aliexpress.com/w/wholesale-baby+room+humidifier.html;assets/img/ali/bebe-160.jpg
escritorio-161;suporte-notebook-aluminio;Suporte Notebook Alumínio;Escritório;61,12;122,24;https://pt.aliexpress.com/w/wholesale-aluminum+laptop+stand.html;assets/img/ali/escritorio-161.jpg
escritorio-162;apoio-punho-teclado;Apoio Punho Teclado;Escritório;23,83;47,66;https://pt.aliexpress.com/w/wholesale-keyboard+wrist+rest.html;assets/img/ali/escritorio-162.jpg
escritorio-163;mouse-pad-grande;Mouse Pad Grande;Escritório;30,56;61,12;https://pt.aliexpress.com/w/wholesale-extended+gaming+mouse+pad.html;assets/img/ali/escritorio-163.jpg
escritorio-164;organizador-mesa;Organizador Mesa;Escritório;43,51;87,02;https://pt.aliexpress.com/w/wholesale-desk+organizer+wood.html;assets/img/ali/escritorio-164.jpg
